importance,author,title,table_name,contrast,keywords,Name,Left/Right,Broadman Area,X(R),Y(A),Z(S),z-score,subjects,cluster size,p value,t,NV
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; monetary reward; decision making; performance-dependent; reward magnitude,orbitofrontal cortex,L.,11,-10,42,-24,,16,,,5.07,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; monetary reward; decision making; performance-dependent; reward magnitude,amygdala,R.,,27,-1,-21,,16,,,4.77,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; monetary reward; decision making; performance-dependent; reward magnitude,amygdala,L.,,-23,0,-16,,16,,,5.38,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; monetary reward; decision making; performance-dependent; reward magnitude,nucleus accumbens,R.,,14,14,-10,,16,,,8.12,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; monetary reward; decision making; performance-dependent; reward magnitude,nucleus accumbens,L.,,-21,14,-10,,16,,,6.94,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; monetary reward; decision making; performance-dependent; reward magnitude,hippocampus,R.,,28,-35,-3,,16,,,5.12,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; monetary reward; decision making; performance-dependent; reward magnitude,hippocampus,R.,,39,-21,-14,,16,,,4.85,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; monetary reward; decision making; performance-dependent; reward magnitude,fusiform gyrus,L.,20,-38,-24,-17,,16,,,6.27,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; monetary reward; decision making; performance-dependent; reward magnitude,calcarine sulcus,R.,17,7,-87,0,,16,,,5.41,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; monetary reward; decision making; performance-dependent; reward magnitude,cerebellum,L.,,-28,-45,-28,,16,,,5.25,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; monetary reward; decision making; performance-dependent; reward magnitude,cerebellum,R.,,14,-45,-14,,16,,,5.21,
++,Cohen et al,Individual differences in extraversion and dopamine genetics predict neural reward responses,Table 1 Study 1 reward - no reward,reward > no reward,fMRI; MNI; extraversion;outcome phase; dopamine; monetary reward; decision making; performance-dependent; reward magnitude,supplementary motor,R.,6,25,-10,67,,16,,,4.75,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,reward > no reward,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain,Ant. insula,R.,13,36,14,1,4.3,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,reward > no reward,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain,NAcc,R.,,11,12,0,4.89,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,reward > no reward,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain,NAcc,L.,,-9,10,0,5.11,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,reward > no reward,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain,Caudate,R.,,10,9,4,5.76,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,reward > no reward,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain,Caudate,L.,,-8,1,7,6.42,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,reward > no reward,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain,Thalamus,,,-3,-13,13,4.86,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,reward > no reward,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain,Mes. prefrontal ctx,,32,3,27,35,4.51,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,reward > no reward,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain,Sup. motor area,,6,0,-4,49,3.96,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,reward > no reward,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain,motor ctx.,L.,4,-28,-55,42,4.94,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,reward > no reward,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain,Cerebellar vermis,,,0,-70,-26,4.67,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,lose > no reward,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential loss,Ant. insula,R.,13,35,14,1,4.26,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,lose > no reward,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential loss,Caudate,R.,,11,-3,14,4.62,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,lose > no reward,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential loss,Caudate,L.,,-16,-3,8,4.16,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,lose > no reward,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential loss,Thalamus,,,-8,-2,10,4.92,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,lose > no reward,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential loss,Mes. prefrontal ctx,,32,4,32,38,4.33,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,lose > no reward,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential loss,motor ctx.,L.,4,-34,-14,59,4.22,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,lose > no reward,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential loss,Cerebellar vermis,,,0,-63,-19,5.24,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-3 - reward versus nonreward outcomes on MPFC - Outcome: Potential gain vs no outcome,reward > no reward,fMRI; reward value; outcome phase; monetary reward; MID; talairach; performance-dependent; potential gain,Mes. prefrontal ctx,,10/32,1,53,-6,4.45,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-3 - reward versus nonreward outcomes on MPFC - Outcome: Potential gain vs no outcome,reward > no reward,fMRI; reward value; outcome phase; monetary reward; MID; talairach; performance-dependent; potential gain,Frontal pole,,10/32,2,65,7,4.33,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-3 - reward versus nonreward outcomes on MPFC - Outcome: Potential gain vs no outcome,reward > no reward,fMRI; reward value; outcome phase; monetary reward; MID; talairach; performance-dependent; potential gain,Post. cingulate,,26/30,5,-51,22,4.03,12,,,,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-3 - reward versus nonreward outcomes on MPFC - Outcome: Potential gain vs no outcome,reward > no reward,fMRI; reward value; outcome phase; monetary reward; MID; talairach; performance-dependent; potential gain,Parietal ctx,,7,4,-62,53,3.91,12,,,,
++,Rosell-Negre et al,Monetary reward magnitude effects on behavior and brain function during goal-directed behavior,Table S1 - Counting-Stroop related functional activations across monetary conditions.,stroop block > baseline,fMRI; reward magnitude; anticipation phase; decision making; monetary reward; MNI; performance-dependent; Stroop task,insula,Left,,-2,2,-2,4.64,37,3375.0,,,
++,Rosell-Negre et al,Monetary reward magnitude effects on behavior and brain function during goal-directed behavior,Table S1 - Counting-Stroop related functional activations across monetary conditions.,stroop block > baseline,fMRI; reward magnitude; anticipation phase; decision making; monetary reward; MNI; performance-dependent; Stroop task,precentral gyrus,Right,,36,-7,64,5.29,37,3375.0,,,
++,Rosell-Negre et al,Monetary reward magnitude effects on behavior and brain function during goal-directed behavior,Table S1 - Counting-Stroop related functional activations across monetary conditions.,stroop block > baseline,fMRI; reward magnitude; anticipation phase; decision making; monetary reward; MNI; performance-dependent; Stroop task,superior frontal lobule,Right,,33,-4,61,5.26,37,3375.0,,,
++,Rosell-Negre et al,Monetary reward magnitude effects on behavior and brain function during goal-directed behavior,Table S1 - Counting-Stroop related functional activations across monetary conditions.,stroop block > baseline,fMRI; reward magnitude; anticipation phase; decision making; monetary reward; MNI; performance-dependent; Stroop task,superior frontal lobule,Left,,-7,-7,61,4.97,37,3375.0,,,
++,Rosell-Negre et al,Monetary reward magnitude effects on behavior and brain function during goal-directed behavior,Table S1 - Counting-Stroop related functional activations across monetary conditions.,stroop block > baseline,fMRI; reward magnitude; anticipation phase; decision making; monetary reward; MNI; performance-dependent; Stroop task,superior parietal lobule,Right,,24,-52,70,4.59,37,3618.0,,,
++,Rosell-Negre et al,Monetary reward magnitude effects on behavior and brain function during goal-directed behavior,Table S1 - Counting-Stroop related functional activations across monetary conditions.,stroop block > baseline,fMRI; reward magnitude; anticipation phase; decision making; monetary reward; MNI; performance-dependent; Stroop task,superior parietal lobule,Left,,-27,-55,67,5.52,37,3618.0,,,
++,Rosell-Negre et al,Monetary reward magnitude effects on behavior and brain function during goal-directed behavior,Table S1 - Counting-Stroop related functional activations across monetary conditions.,stroop block > baseline,fMRI; reward magnitude; anticipation phase; decision making; monetary reward; MNI; performance-dependent; Stroop task,postcentral gyrus,Left,,-63,-19,25,5.57,37,3618.0,,,
++,Rosell-Negre et al,Monetary reward magnitude effects on behavior and brain function during goal-directed behavior,Table S1 - Counting-Stroop related functional activations across monetary conditions.,stroop block > baseline,fMRI; reward magnitude; anticipation phase; decision making; monetary reward; MNI; performance-dependent; Stroop task,inferior parietal lobule,Left,,-45,-34,40,5.46,37,3618.0,,,
++,Rosell-Negre et al,Monetary reward magnitude effects on behavior and brain function during goal-directed behavior,Table S1 - Counting-Stroop related functional activations across monetary conditions.,stroop block > baseline,fMRI; reward magnitude; anticipation phase; decision making; monetary reward; MNI; performance-dependent; Stroop task,Supramarginal gyrus,Left,,-60,-28,34,5.37,37,3618.0,,,
++,Rosell-Negre et al,Monetary reward magnitude effects on behavior and brain function during goal-directed behavior,Table S1 - Counting-Stroop related functional activations across monetary conditions.,stroop block > baseline,fMRI; reward magnitude; anticipation phase; decision making; monetary reward; MNI; performance-dependent; Stroop task,Supplementary Motor Area,Left,,-12,-7,70,5.14,37,3618.0,,,
++,Rosell-Negre et al,Monetary reward magnitude effects on behavior and brain function during goal-directed behavior,Table S1 - Counting-Stroop related functional activations across monetary conditions.,stroop block > baseline,fMRI; reward magnitude; anticipation phase; decision making; monetary reward; MNI; performance-dependent; Stroop task,caudate,Right,,18,-19,19,5.37,37,3618.0,,,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,ventral striatum,R,,10,6,2,,15,,,4.38,441.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,ventral striatum,L,,-8,8,2,,15,,,5.31,267.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,anterior insula/IFG,R,,32,26,-8,,15,,,7.67,1101.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,anterior insula/IFG,L,,-40,20,-12,,15,,,7.12,1083.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,orbitofrontal cortex,L,,-30,54,-4,,15,,,4.21,255.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,dorsal anterior cingulate cortex,,,-10,26,32,,15,,,4.64,555.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,dorsal anterior cingulate cortex,,,10,28,34,,15,,,4.43,135.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,medial temporal gyrus,R,,54,-38,-6,,15,,,4.67,441.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,medial temporal gyrus,L,,-58,-36,-16,,15,,,4.5,106.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,DLPFC,R,,44,18,24,,15,,,4.65,403.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,DLPFC,,,40,36,16,,15,,,3.72,159.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,DLPFC,L,,-46,6,38,,15,,,3.92,215.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,lateral occipital cortex,R,,42,-90,-6,,15,,,7.45,2160.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward magnitude,lateral occipital cortex,L,,-40,-90,-8,,15,,,6.41,2767.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-2: fMRI Results: ANOVA 1 - modeling effects over the whole trial - high > low reward value level,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent,ventral striatum,L,,-6,10,2,,15,,,5.17,14.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-2: fMRI Results: ANOVA 1 - modeling effects over the whole trial - high > low reward value level,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent,anterior insula/IFG,R,,40,26,-14,,15,,,5.0,13.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,lateral occipital cortex,R,,36,-96,-4,,15,,,9.17,612.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,lateral occipital cortex,L,,-36,-92,-4,,15,,,5.82,201.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,DLPFC,L,,-52,10,22,,15,,,4.57,49.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,DLPFC,L,,-54,-2,32,,15,,,4.56,33.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 1-4: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; outcome phase; anova; decision making; performance-dependent; increasing reward uncertainty,hippocampal area,L,,-18,-12,-16,,15,,,4.28,41.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,ventral striatum,L,,-12,6,0,,15,,,4.39,34.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,gyrus fusiformis,L,,-30,-64,-10,,15,,,5.14,90.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,gyrus fusiformis,,,-24,-50,-12,,15,,,4.54,75.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,gyrus fusiformis,R,,34,-60,-14,,15,,,4.42,121.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,lateral occipital cortex,R,,42,-90,-4,,15,,,5.94,435.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,high reward > low reward,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; anova; decision making; performance-dependent; increasing reward magnitude,lateral occipital cortex,L,,-20,-98,-10,,15,,,5.45,215.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,MPFC,,,2,50,-12,,15,,,5.53,1184.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,MPFC,,,-8,34,-22,,15,,,5.48,
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,lateral orbitofrontal cortex,L,,-36,34,-18,,15,,,4.04,87.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,DLPFC,L,,-26,26,44,,15,,,4.08,76.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,hippocampal area,L,,-22,-18,-22,,15,,,5.09,310.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,hippocampal area,R,,22,-16,-24,,15,,,5.43,189.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,amygdala,R,,22,0,-20,,15,,,3.48,189.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,medial temporal gyrus,L,,-60,-30,8,,15,,,4.8,132.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,precuneus,R,,14,-54,12,,15,,,6.06,1177.0
+,Abler et al,From uncertainty to reward - BOLD characteristics differentiate signaling pathways,Table 2-4: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward uncertainty,risk > safe,fMRI; MNI; reward magnitude; reward value; monetary reward; anticipation phase; anova; decision making; performance-dependent; increasing reward uncertainty,lateral occipital cortex,R,,34,-96,-4,,15,,,9.19,1265.0
