importance,author,title,table_name,contrast,keywords,Name,Left/Right,Broadman Area,X(R),Y(A),Z(S),z-score,subjects,cluster size,p value,t,NV,index_col,MNIX,MNIY,MNIZ,TALX,TALY,TALZ,significance
+,Knutson et al,Distributed Neural Representation of Expected Value,Table 1-4 Regressor of interest Z scores and Talairach coordinates for peak activation foci,high probability > low probability,talairach;reward value; probability; monetary reward; MID; fMRI; performance-dependent; anticipation phase,mesial pfc,left,,-4,52,-6,4.49,14,,,,,947,-3.452,55.614,-15.383,-4.0,52.0,-6.0,3.5611586795975475e-06
+,Knutson et al,Distributed Neural Representation of Expected Value,Table 1-4 Regressor of interest Z scores and Talairach coordinates for peak activation foci,high probability > low probability,talairach;reward value; probability; monetary reward; MID; fMRI; performance-dependent; anticipation phase,mesial pfc,right,,4,52,-10,5.08,14,,,,,948,5.064,55.322,-19.917,4.0,52.0,-10.0,1.8871743415805952e-07
+,Knutson et al,Distributed Neural Representation of Expected Value,Table 1-4 Regressor of interest Z scores and Talairach coordinates for peak activation foci,high probability > low probability,talairach;reward value; probability; monetary reward; MID; fMRI; performance-dependent; anticipation phase,anterior cingulate,left,,0,22,42,-4.17,14,,,,,949,1.338,28.029,40.405,0.0,22.0,42.0,0.999984770018052
+,Knutson et al,Distributed Neural Representation of Expected Value,Table 1-4 Regressor of interest Z scores and Talairach coordinates for peak activation foci,high probability > low probability,talairach;reward value; probability; monetary reward; MID; fMRI; performance-dependent; anticipation phase,supplementary motor area,,,-2,-12,50,-4.64,14,,,,,950,-0.599,-7.25,52.307,-2.0,-12.0,50.0,0.9999982579541097
+,Knutson et al,Distributed Neural Representation of Expected Value,Table 1-4 Regressor of interest Z scores and Talairach coordinates for peak activation foci,high probability > low probability,talairach;reward value; probability; monetary reward; MID; fMRI; performance-dependent; anticipation phase,insula,left,,-30,18,4,-3.9,14,,,,,951,-31.018,20.352,-0.957,-30.0,18.0,4.0,0.9999519036559824
+,Knutson et al,Distributed Neural Representation of Expected Value,Table 1-4 Regressor of interest Z scores and Talairach coordinates for peak activation foci,high probability > low probability,talairach;reward value; probability; monetary reward; MID; fMRI; performance-dependent; anticipation phase,caudate,left,,-11,8,5,-5.02,14,,,,,952,-10.667,9.985,0.793,-11.0,8.0,5.0,0.9999997416426024
+,Knutson et al,Distributed Neural Representation of Expected Value,Table 1-4 Regressor of interest Z scores and Talairach coordinates for peak activation foci,high probability > low probability,talairach;reward value; probability; monetary reward; MID; fMRI; performance-dependent; anticipation phase,caudate,right,,15,12,5,-6.14,14,,,,,953,17.101,14.381,0.106,15.0,12.0,5.0,0.9999999995873926
+,Knutson et al,Distributed Neural Representation of Expected Value,Table 1-4 Regressor of interest Z scores and Talairach coordinates for peak activation foci,high probability > low probability,talairach;reward value; probability; monetary reward; MID; fMRI; performance-dependent; anticipation phase,putamen,right,,19,8,-4,-5.16,14,,,,,954,21.317,9.406,-9.562,19.0,8.0,-4.0,0.9999998765250787
+,Knutson et al,Distributed Neural Representation of Expected Value,Table 1-4 Regressor of interest Z scores and Talairach coordinates for peak activation foci,high probability > low probability,talairach;reward value; probability; monetary reward; MID; fMRI; performance-dependent; anticipation phase,parahippocampal gyrus,,,-22,-12,-10,4.16,14,,,,,955,-22.466,-12.518,-13.912,-22.0,-12.0,-10.0,1.5912379719082166e-05
+,Knutson et al,Distributed Neural Representation of Expected Value,Table 1-4 Regressor of interest Z scores and Talairach coordinates for peak activation foci,high probability > low probability,talairach;reward value; probability; monetary reward; MID; fMRI; performance-dependent; anticipation phase,posterior cingulate,,,1,-48,24,4.49,14,,,,,956,2.535,-47.525,26.654,1.0,-48.0,24.0,3.5611586795975475e-06
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 2 - Clusters showing preference-dependent activation during the anticipation phase.,reward > no reward,chocolate bars; fMRI; reward magnitude; anticipation phase; decision making; taste reward; MNI;gambling,caudal premotor area,l,,-16,-8,62,,19,,,5.89,99.0,957,-16.0,-8.0,62.0,-16.483,-13.308,58.477,7.65532536318638e-05
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 2 - Clusters showing preference-dependent activation during the anticipation phase.,reward > no reward,chocolate bars; fMRI; reward magnitude; anticipation phase; decision making; taste reward; MNI;gambling,rostral premotor area,r,,16,4,68,,19,,,3.86,13.0,958,16.0,4.0,68.0,13.451,-2.676,65.089,0.0015801260863462711
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 2 - Clusters showing preference-dependent activation during the anticipation phase.,reward > no reward,chocolate bars; fMRI; reward magnitude; anticipation phase; decision making; taste reward; MNI;gambling,lateral orbitofrontal cortex/anterior insula,r,,44,28,-12,,19,,,3.97,15.0,959,44.0,28.0,-12.0,40.296,25.5,-4.554,0.0013216714728441872
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 2 - Clusters showing preference-dependent activation during the anticipation phase.,reward > no reward,chocolate bars; fMRI; reward magnitude; anticipation phase; decision making; taste reward; MNI;gambling,posterior superior temporal sulcus/anterolateral intraparietal sulcus,r,,42,-48,14,,19,,,4.18,11.0,960,42.0,-48.0,14.0,38.017,-47.784,13.024,0.0009438551675893973
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 2 - Clusters showing preference-dependent activation during the anticipation phase.,reward > no reward,chocolate bars; fMRI; reward magnitude; anticipation phase; decision making; taste reward; MNI;gambling,dopaminergic midbrain (substantia nigra),r,,10,-18,-6,,19,,,4.01,33.0,961,10.0,-18.0,-6.0,8.306,-17.936,-2.983,0.0012390268319218657
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,caudate nucleus,r,,18,8,18,,19,,,5.19,51.0,962,18.0,8.0,18.0,15.694,4.699,20.575,0.00020357064829339163
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,caudate nucleus,r,,16,2,26,,19,,,4.92,,963,16.0,2.0,26.0,13.747,-1.506,27.277,0.00030242933493330126
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,ventral pallidum,r,,24,2,-8,,19,,,4.28,82.0,964,24.0,2.0,-8.0,21.478,0.91,-3.129,0.0008056962087539817
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,precuneus,r,,6,-46,6,,19,,,5.88,200.0,965,6.0,-46.0,6.0,4.395,-45.09,5.63,7.759306405424731e-05
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,posterior cingulum,l,,-2,-42,8,,19,,,5.21,,966,-2.0,-42.0,8.0,-3.093,-41.425,7.642,0.00019777064212333757
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,vermis,l/r,,0,-54,-4,,19,,,4.24,,967,0.0,-54.0,-4.0,-1.17,-51.842,-4.0,0.0008582115942343599
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,precuneus,r,,16,-60,40,,19,,,5.25,24.0,968,16.0,-60.0,40.0,13.467,-60.778,35.168,0.00018669371161367042
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,lingual gyrus,l,,-20,-72,-4,,19,,,5.29,187.0,969,-20.0,-72.0,-4.0,-19.936,-68.625,-5.56,0.00017627747278017064
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,lingual gyrus,l,,-14,-82,-12,,19,,,4.89,,970,-14.0,-82.0,-12.0,-14.294,-77.479,-13.424,0.0003162318338665953
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,lingual gyrus,l,,-12,-80,-2,,19,,,4.68,,971,-12.0,-80.0,-2.0,-12.488,-76.339,-4.286,0.00043375745440190207
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,superior occipital,l,,-14,-96,20,,19,,,4.47,16.0,972,-14.0,-96.0,20.0,-14.564,-92.957,14.218,0.0005987115531088814
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,lingual gyrus,l,,-14,-56,0,,19,,,3.9,16.0,973,-14.0,-56.0,0.0,-14.304,-53.921,-0.708,0.0014805041171445355
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,lingual gyrus,l,,-6,-66,4,,19,,,4.03,29.0,974,-6.0,-66.0,4.0,-6.877,-63.659,2.209,0.0011997552956277474
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,lingual gyrus,r,,22,-90,-16,,19,,,4.82,74.0,975,22.0,-90.0,-16.0,19.397,-84.939,-17.241,0.00035111367793991163
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,inferior occipital gyrus,r,,34,-22,-16,,19,,,3.74,,976,34.0,-22.0,-16.0,30.823,-21.125,-12.004,0.001923271731115752
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,lingual gyrus,r,,22,-52,-2,,19,,,4.4,35.0,977,22.0,-52.0,-2.0,19.407,-50.251,-1.83,0.0006675347657019175
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,lingual gyrus,r,,14,-50,-4,,19,,,4.26,,978,14.0,-50.0,-4.0,11.941,-48.175,-3.555,0.0008315168037550617
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,cerebellum crus i,r,,16,-82,-28,,19,,,4.62,140.0,979,16.0,-82.0,-28.0,13.893,-76.512,-27.462,0.00047529315023616086
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,cerebellum crus i,r,,6,-20,-22,,19,,,4.34,,980,6.0,-20.0,-22.0,4.672,-18.628,-17.522,0.000733187127901233
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,cerebellum crus i,l,,-22,-66,-34,,19,,,4.22,20.0,981,-22.0,-66.0,-34.0,-21.574,-60.796,-32.03,0.0008858114206155114
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,superior temporal gyrus,r,,52,-26,16,,19,,,4.9,19.0,982,52.0,-26.0,16.0,47.424,-27.323,16.575,0.00031155791643425505
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,supramarginal gyrus,r,,42,-42,22,,19,,,5.57,62.0,983,42.0,-42.0,22.0,37.977,-42.727,20.649,0.00011869428327813156
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,supramarginal gyrus,r,,46,-28,28,,19,,,4.49,13.0,984,46.0,-28.0,28.0,41.717,-30.035,27.123,0.000580457669280851
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,middle temporal gyrus,l,,-38,-56,16,,19,,,4.55,13.0,985,-38.0,-56.0,16.0,-36.876,-54.926,13.392,0.0005291465283593818
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,angluar gyrus,l,,-42,-52,22,,19,,,3.98,,986,-42.0,-52.0,22.0,-40.651,-51.577,19.032,0.0013004825093271728
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,postcentral gyrus,r,,38,-30,54,,19,,,4.86,13.0,987,38.0,-30.0,54.0,34.038,-33.749,50.205,0.0003307070054961649
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,frontal inferior gyrus/triangular part,r,,28,16,20,,19,,,4.16,14.0,988,28.0,16.0,20.0,25.06,12.006,23.073,0.0009743665175598628
+,Koeneke et al,Individual preferences modulate incentive values  Evidence from functional MRI,Table 3 - Clusters showing preference-dependent activation during the outcome phase,reward > no reward,chocolate bars; fMRI; reward magnitude; outcome phase; decision making; taste reward; MNI;gambling,superior frontal gyrus,r,,18,28,40,,19,,,4.15,12.0,989,18.0,28.0,40.0,15.594,21.894,41.806,0.000990009913085478
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,caudate/nacc,r,,12,12,-1,6.24,28,218.0,,,,990,13.846,13.848,-6.503,12.0,12.0,-1.0,2.1878544680290278e-10
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,putamen/nacc,l,,-18,12,-1,5.36,28,104.0,,,,991,-18.212,13.656,-6.119,-18.0,12.0,-1.0,4.1610975949819624e-08
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,precuneus,l,7,-12,-65,34,5.12,28,160.0,,,,992,-11.207,-64.728,39.406,-12.0,-65.0,34.0,1.527678282945655e-07
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,precuneus,r,19,30,-68,31,4.97,28,118.0,,,,993,33.661,-67.888,35.81,30.0,-68.0,31.0,3.3476450827361606e-07
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,culmen/substantia nigra,,,0,-29,-1,4.97,28,191.0,,,,994,1.185,-29.582,-2.716,0.0,-29.0,-1.0,3.3476450827361606e-07
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,inferior frontal gyrus,l,9,-59,10,24,4.47,28,80.0,,,,995,-61.811,13.42,22.282,-59.0,10.0,24.0,3.910979860280697e-06
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,inferior frontal gyrus,r,9,53,5,33,4.28,28,14.0,,,,996,57.967,9.621,31.261,53.0,5.0,33.0,9.34466567019634e-06
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,inferior frontal gyrus,l,46,-33,30,12,4.24,28,65.0,,,,997,-34.205,33.707,6.881,-33.0,30.0,12.0,1.1175989332120529e-05
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,cingulate gyrus,l,32,-6,25,29,4.15,28,33.0,,,,998,-5.193,30.049,25.813,-6.0,25.0,29.0,1.6623763729652213e-05
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,precentral gyrus,r,44,59,6,8,4.07,28,9.0,,,,999,64.168,8.576,3.398,59.0,6.0,8.0,2.350656886859558e-05
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,inferior parietal lobule,r,40,39,-36,43,4.05,28,10.0,,,,1000,43.251,-32.965,46.154,39.0,-36.0,43.0,2.560881647404149e-05
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,superior frontal gyrus,l,9,-36,36,26,4.04,28,26.0,,,,1001,-37.319,41.232,21.898,-36.0,36.0,26.0,2.6725600719492032e-05
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,middle frontal gyrus,r,10,33,39,17,3.95,28,7.0,,,,1002,36.328,44.075,10.777,33.0,39.0,17.0,3.9075596597787456e-05
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,precentral gyrus,l,6,-50,2,30,3.92,28,14.0,,,,1003,-52.112,5.533,29.523,-50.0,2.0,30.0,4.4274484312070743e-05
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,postcentral gyrus,l,2,-36,-24,40,3.86,28,7.0,,,,1004,-36.966,-21.014,42.727,-36.0,-24.0,40.0,5.669351253425653e-05
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,inferior parietal lobule,l,40,-50,-34,24,3.81,28,12.0,,,,1005,-52.019,-33.048,26.066,-50.0,-34.0,24.0,6.948339587986502e-05
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,insula,l,13,-50,-19,20,3.77,28,17.0,,,,1006,-52.111,-17.529,20.305,-50.0,-19.0,20.0,8.162377370268604e-05
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,caudate,r,,24,-37,21,3.6,28,5.0,,,,1007,27.045,-36.003,22.06,24.0,-37.0,21.0,0.00015910859015753364
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - MID",expected reward > received reward,anticipation phase; monetary reward; MID; fMRI; reward magnitude; talairach; performance-dependent,insula,l,,-45,9,0,3.53,28,5.0,,,,1008,-47.044,10.397,-4.399,-45.0,9.0,0.0,0.0002077798334806214
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - SID",expected reward > received reward,anticipation phase; social reward; SID; fMRI; reward magnitude; talairach; performance-dependent,inferior frontal gyrus,r,47,33,32,1,4.4,28,6.0,,,,1009,36.224,35.302,-6.329,33.0,32.0,1.0,5.412543907703841e-06
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - SID",expected reward > received reward,anticipation phase; social reward; SID; fMRI; reward magnitude; talairach; performance-dependent,cerebellum/culmen,l,,0,-50,-13,4.11,28,27.0,,,,1010,1.169,-52.816,-14.149,0.0,-50.0,-13.0,1.9782955868224025e-05
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - SID",expected reward > received reward,anticipation phase; social reward; SID; fMRI; reward magnitude; talairach; performance-dependent,putamen,r,,21,9,11,4.03,28,17.0,,,,1011,23.574,11.762,6.942,21.0,9.0,11.0,2.7888426440563852e-05
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - SID",expected reward > received reward,anticipation phase; social reward; SID; fMRI; reward magnitude; talairach; performance-dependent,insula,r,,30,-34,21,3.96,28,9.0,,,,1012,33.444,-32.793,21.717,30.0,-34.0,21.0,3.747488169107342e-05
+,Rademacher et al,Dissociation of neural networks for anticipation and consumption of monetary and social rewards,"Table 1-1 - Brain regions activated for anticipated reward in comparison to the ""no outcome"" condition inclusively masked with the (anticipation_(hit outcome) > consumption_(hit outcome)) contrast (uncorrected p = 0.001) - SID",expected reward > received reward,anticipation phase; social reward; SID; fMRI; reward magnitude; talairach; performance-dependent,putamen/nacc,l,,-18,9,-3,3.77,28,9.0,,,,1013,-18.217,10.313,-8.069,-18.0,9.0,-3.0,8.162377370268604e-05
