importance,author,title,table_name,contrast,keywords,Left/Right,Name,X(R),Y(A),Z(S),NV,t,subjects,Broadman Area,cluster size,z-score,p value
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,R,Ventral medial PFC,9.0,42,-12.0,,,15,,,3.54,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,R,Ventral medial PFC,9.0,66,6.0,,,15,,,3.46,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,R,Medial OFC,12.0,36,-18.0,,,15,,,3.11,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,R,Medial OFC,3.0,15,-12.0,,,15,,,3.22,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,L,Lateral OFC,-39.0,42,-15.0,,,15,,,3.9,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,L,Posterior cingulate cortex,-9.0,-33,45.0,,,15,,,3.97,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,R,Posterior cingulate cortex,-9.0,-42,45.0,,,15,,,4.53,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-b - Effects of valence of outcome - Imperative task - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI;positive reward; viewing; passive,L,Caudolateral OFC,-27.0,18,-15.0,,,15,,,3.23,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-b - Effects of valence of outcome - Imperative task - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI;positive reward; viewing; passive,L,Medial OFC,-6.0,18,-12.0,,,15,,,3.12,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-b - Effects of valence of outcome - Imperative task - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI;positive reward; viewing; passive,L,Amygdala,-27.0,-3,-27.0,,,15,,,3.58,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-b - Effects of valence of outcome - Imperative task - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI;positive reward; viewing; passive,R,Border of ventral amygdala,33.0,-6,-33.0,,,15,,,3.37,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,R,Ventral medial PFC,9.0,42,-12.0,,,15,,,3.54,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,R,Ventral medial PFC,9.0,66,6.0,,,15,,,3.46,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,R,Medial OFC,12.0,36,-18.0,,,15,,,3.11,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,R,Medial OFC,3.0,15,-12.0,,,15,,,3.22,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,L,Lateral OFC,-39.0,42,-15.0,,,15,,,3.9,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,L,Posterior cingulate cortex,-9.0,-33,45.0,,,15,,,3.97,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,R,Posterior cingulate cortex,-9.0,-42,45.0,,,15,,,4.53,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-2-a - Effects of valence of outcome - Choice task - punishment > reward,punishment > reward,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; negative reward,R,Anterior insular cortex,42.0,27,0.0,,,15,,,3.15,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-2-a - Effects of valence of outcome - Choice task - punishment > reward,punishment > reward,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; negative reward,R,Lateral prefrontal cortex,51.0,24,0.0,,,15,,,4.19,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-2-b - Effects of valence of outcome - Imperative task - punishment > reward,punishment > reward,fMRI; reward value; outcome phase; monetary reward; MNI; negative reward; viewing; passive,R,Lateral OFC,45.0,36,-9.0,,,15,,,3.21,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-2-b - Effects of valence of outcome - Imperative task - punishment > reward,punishment > reward,fMRI; reward value; outcome phase; monetary reward; MNI; negative reward; viewing; passive,,Dorsal medial PFC,0.0,48,21.0,,,15,,,3.65,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-2-c - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - punishment > reward ,punishment > reward,fMRI; reward value; outcome phase; monetary reward; MNI; negative reward,R,Lateral PFC,51.0,21,-3.0,,,15,,,3.68,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-1 - Effects of response selection - response maintenance - response switch,response maintenance > response switch,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,,Medial OFC,0.0,42,-18.0,,,15,,,3.37,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-1 - Effects of response selection - response maintenance - response switch,response maintenance > response switch,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,L,Lateral OFC,-42.0,36,-18.0,,,15,,,3.53,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-1 - Effects of response selection - response maintenance - response switch,response maintenance > response switch,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,L,Medial PFC,-3.0,54,-9.0,,,15,,,3.23,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-1 - Effects of response selection - response maintenance - response switch,response maintenance > response switch,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,L,Posterior cingulate cortex,-3.0,-54,15.0,,,15,,,3.86,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-2 - Effects of response selection - response switch > response maintenance,response switch > response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,R,Anterior insula-caudolateral OFC,36.0,27,-9.0,,,15,,,3.78,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-2 - Effects of response selection - response switch > response maintenance,response switch > response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,L,Dorsal anterior cingulate cortex,-3.0,21,42.0,,,15,,,4.58,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-2 - Effects of response selection - response switch > response maintenance,response switch > response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,R,Dorsal anterior cingulate cortex,3.0,33,36.0,,,15,,,4.71,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-2 - Effects of response selection - response switch > response maintenance,response switch > response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,L,Para-cingulate cortex,-6.0,12,51.0,,,15,,,5.05,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-a - Comparison between choice and imperative tasks - Choice-imperative: effects of valence of outcome (reward>punishment),reward > punishment,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; positive reward;,R,Medial OFC,9.0,39,-18.0,,,15,,,3.56,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-a - Comparison between choice and imperative tasks - Choice-imperative: effects of valence of outcome (reward>punishment),reward > punishment,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; positive reward;,L,Lateral OFC,-42.0,42,-15.0,,,15,,,4.35,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-a - Comparison between choice and imperative tasks - Choice-imperative: effects of valence of outcome (reward>punishment),reward > punishment,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; positive reward;,R,Central OFC,18.0,39,-9.0,,,15,,,3.43,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-b - Comparison between choice and imperative tasks - Choice-imperative: effects of response maintenance,response maintenance > response switch,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response maintenance,R,Medial OFC,3.0,27,-12.0,,,15,,,3.27,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-b - Comparison between choice and imperative tasks - Choice-imperative: effects of response maintenance,response maintenance > response switch,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response maintenance,R,Central OFC,24.0,36,-6.0,,,15,,,4.26,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,response switch > response maintenance,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,L,Dorsal anterior cingulate cortex,-3.0,21,39.0,,,15,,,3.67,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,response switch > response maintenance,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,R,Dorsal anterior cingulate cortex,6.0,27,33.0,,,15,,,3.76,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,response switch > response maintenance,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,R,Dorsal anterior cingulate cortex,9.0,21,39.0,,,15,,,3.58,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,response switch > response maintenance,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,L,Caudate nucleus,-6.0,3,0.0,,,15,,,3.78,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,response switch > response maintenance,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,R,Caudate nucleus,21.0,0,18.0,,,15,,,3.67,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,response switch > response maintenance,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,R,Caudate nucleus,15.0,18,3.0,,,15,,,3.92,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,response switch > response maintenance,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,R,Putamen,21.0,0,-3.0,,,15,,,3.39,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-d - Comparison between choice and imperative tasks - Conjunction of choice and imperative tasks: response maintenance,response maintenance > response switch,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,R,Caudate nucleus,33.0,3,6.0,,,15,,,4.73,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-d - Comparison between choice and imperative tasks - Conjunction of choice and imperative tasks: response maintenance,response maintenance > response switch,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,,Posterior cingulate cortex,0.0,-15,48.0,,,15,,,5.21,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-d - Comparison between choice and imperative tasks - Conjunction of choice and imperative tasks: response maintenance,response maintenance > response switch,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,L,Lateral OFC,-30.0,42,-9.0,,,15,,,3.28,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-e - Comparison between choice and imperative tasks - Conjunction of choice and imperative tasks: response switching,response switch > response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,L,Anterior insula-caudolateral OFC,-33.0,21,-18.0,,,15,,,3.69,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-e - Comparison between choice and imperative tasks - Conjunction of choice and imperative tasks: response switching,response switch > response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,R,Anterior insula-caudolateral OFC,39.0,24,-12.0,,,15,,,4.08,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,low-calorie and high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,L.,Insula,-38.0,1,-10.0,,,13,,,3.17,0.005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,low-calorie and high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,L.,Amygdala/hippocampus,-22.0,-12,-15.0,,,13,,,4.14,0.005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,low-calorie and high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,L.,Post-central gyrus,-63.0,-23,16.0,,,13,40,,4.8,0.05
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,low-calorie and high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,L.,Cerebellum,-34.0,-36,-22.0,,,13,,,3.5,0.005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,low-calorie and high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,L.,Fusiform gyrus,-44.0,-47,-16.0,,,13,,,3.26,0.005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,low-calorie and high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,L.,Inferior occipital gyrus,-26.0,-86,-14.0,,,13,18,,3.78,0.005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,low-calorie and high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,R.,Medial frontal gyrus,4.0,54,-8.0,,,13,10,,3.37,0.005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,low-calorie and high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,R.,Amygdala,22.0,-5,-17.0,,,13,,,3.42,0.005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,low-calorie and high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,R.,Transverse temporal gyrus,61.0,-17,12.0,,,13,42,,3.0,0.005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,low-calorie and high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,R.,Superior temporal gyrus,61.0,-48,10.0,,,13,21,,4.02,0.005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,low-calorie and high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,R.,Precuneus,4.0,-51,36.0,,,13,7,,2.83,0.005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,low-calorie and high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,R.,Posterior cingulate,2.0,-60,14.0,,,13,23,,3.63,0.005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,high-calorie > low-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,L.,Superior frontal gyrus,-24.0,41,40.0,,,13,8,,5.61,0.05
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,high-calorie > low-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,L.,Amygdala,-20.0,-1,-20.0,,,13,,,3.81,0.0005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,high-calorie > low-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,L.,Parahippocampal gyrus,-36.0,-3,-18.0,,,13,,,3.66,0.0005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,high-calorie > low-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,L.,Thalamus,-4.0,-12,1.0,,,13,,,5.45,0.05
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,high-calorie > low-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,L.,Middle temporal gyrus,-63.0,-43,0.0,,,13,21,,3.58,0.0005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,high-calorie > low-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,L.,Middle temporal gyrus,-48.0,-75,24.0,,,13,,,3.85,0.0005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,high-calorie > low-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,M.,Corpus callosum,2.0,11,16.0,,,13,,,4.51,0.05
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,high-calorie > low-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,M.,Cerebellum,0.0,-77,-31.0,,,13,,,4.2,0.0005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,high-calorie > low-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,R.,Brainstem,8.0,-29,-41.0,,,13,,,4.53,0.05
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,high-calorie > low-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,R.,Cerebellum,40.0,-42,-28.0,,,13,,,4.06,0.0005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,high-calorie > low-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; high calorie,R.,Middle occipital gyrus,51.0,-66,-7.0,,,13,37,,4.33,0.0005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,low-calorie > high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; low calorie,L.,Superior temporal gyrus,-61.0,-6,-1.0,,,13,21,,3.89,0.005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,low-calorie > high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; low calorie,L.,Parahippocampal gyrus,-22.0,-17,-19.0,,,13,28,,3.63,0.005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,low-calorie > high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; low calorie,L.,Post-central gyrus,-63.0,-24,18.0,,,13,40,,3.22,0.005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,low-calorie > high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; low calorie,L.,Anterior cerebellum,-38.0,-40,-22.0,,,13,,,3.37,0.005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,low-calorie > high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; low calorie,L.,Lingual gyrus,-18.0,-72,-5.0,,,13,,,3.1,0.005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,low-calorie > high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; low calorie,M.,Orbitofrontal gyrus,0.0,52,-16.0,,,13,11,,3.07,0.005
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,low-calorie > high-calorie,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive; low calorie,R.,Transverse temporal gyrus,65.0,-9,10.0,,,13,,,3.34,0.005
+,Kirscg et al,Anticipation of reward in a nonaversive differential conditioning paradigm and the brain reward system,Table 1 - Locations and T values for the significant activations for the contrast monetary reward > visual cue,monetary reward > no reward,fMRI; talairach; monetary reward; anticipation phase; reward magnitude;,Left,thalamus,-9.0,-15,1.0,,9.61,27,,,,
+,Kirscg et al,Anticipation of reward in a nonaversive differential conditioning paradigm and the brain reward system,Table 1 - Locations and T values for the significant activations for the contrast monetary reward > visual cue,monetary reward > no reward,fMRI; talairach; monetary reward; anticipation phase; reward magnitude;,Right,thalamus,18.0,-8,9.0,,9.36,27,,,,
+,Kirscg et al,Anticipation of reward in a nonaversive differential conditioning paradigm and the brain reward system,Table 1 - Locations and T values for the significant activations for the contrast monetary reward > visual cue,monetary reward > no reward,fMRI; talairach; monetary reward; anticipation phase; reward magnitude;,Left,substantia nigra,-9.0,-15,-12.0,,7.36,27,,,,
+,Kirscg et al,Anticipation of reward in a nonaversive differential conditioning paradigm and the brain reward system,Table 1 - Locations and T values for the significant activations for the contrast monetary reward > visual cue,monetary reward > no reward,fMRI; talairach; monetary reward; anticipation phase; reward magnitude;,Right,substantia nigra,9.0,-24,-9.0,,8.5,27,,,,
+,Kirscg et al,Anticipation of reward in a nonaversive differential conditioning paradigm and the brain reward system,Table 1 - Locations and T values for the significant activations for the contrast monetary reward > visual cue,monetary reward > no reward,fMRI; talairach; monetary reward; anticipation phase; reward magnitude;,Left,nucleus accumbens,-11.0,8,-5.0,,7.69,27,,,,
+,Kirscg et al,Anticipation of reward in a nonaversive differential conditioning paradigm and the brain reward system,Table 1 - Locations and T values for the significant activations for the contrast monetary reward > visual cue,monetary reward > no reward,fMRI; talairach; monetary reward; anticipation phase; reward magnitude;,Right,nucleus accumbens,13.0,8,-4.0,,9.18,27,,,,
+,Kirscg et al,Anticipation of reward in a nonaversive differential conditioning paradigm and the brain reward system,Table 1 - Locations and T values for the significant activations for the contrast monetary reward > visual cue,monetary reward > no reward,fMRI; talairach; monetary reward; anticipation phase; reward magnitude;,Left,putamen,-21.0,6,-5.0,,12.14,27,,,,
