importance,author,title,table_name,keywords,Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S),z-score,NV,p value,cluster size
+,Huettel et al,Neural Signatures of Economic Preferences for Risk and Ambiguity,Table 1 - Correlations between Cortical Activation and Behavioral Preferences -LPFC was predicted by ambiguity preference and was also negatively correlated with independent clinical measure of behavioral impulsiveness suggesting that this region implements contextual analysis and inhibits impulsive responses,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; ambiguity,Right,pIFS,9,6.8,51,16,45,9e-06,,,
+,Huettel et al,Neural Signatures of Economic Preferences for Risk and Ambiguity,Table 1 - Correlations between Cortical Activation and Behavioral Preferences -LPFC was predicted by ambiguity preference and was also negatively correlated with independent clinical measure of behavioral impulsiveness suggesting that this region implements contextual analysis and inhibits impulsive responses,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; ambiguity,Right,pIFS,8,5.3,40,6,44,9.4e-05,,,
+,Huettel et al,Neural Signatures of Economic Preferences for Risk and Ambiguity,Table 1 - Correlations between Cortical Activation and Behavioral Preferences -LPFC was predicted by ambiguity preference and was also negatively correlated with independent clinical measure of behavioral impulsiveness suggesting that this region implements contextual analysis and inhibits impulsive responses,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; ambiguity,Right,aINS,13,5.5,41,19,9,6.6e-05,,,
+,Huettel et al,Neural Signatures of Economic Preferences for Risk and Ambiguity,Table 1 - Correlations between Cortical Activation and Behavioral Preferences -LPFC was predicted by ambiguity preference and was also negatively correlated with independent clinical measure of behavioral impulsiveness suggesting that this region implements contextual analysis and inhibits impulsive responses,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; ambiguity,Left,pPAR,40,7.3,-36,-57,50,4e-06,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,R,Ventral medial PFC,,,9,42,-12,3.54,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,R,Ventral medial PFC,,,9,66,6,3.46,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,R,Medial OFC,,,12,36,-18,3.11,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,R,Medial OFC,,,3,15,-12,3.22,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,L,Lateral OFC,,,-39,42,-15,3.9,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,L,Posterior cingulate cortex,,,-9,-33,45,3.97,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice task - reward > punishment,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; positive reward,R,Posterior cingulate cortex,,,-9,-42,45,4.53,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-b - Effects of valence of outcome - Imperative task - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI;positive reward; viewing; passive,L,Caudolateral OFC,,,-27,18,-15,3.23,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-b - Effects of valence of outcome - Imperative task - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI;positive reward; viewing; passive,L,Medial OFC,,,-6,18,-12,3.12,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-b - Effects of valence of outcome - Imperative task - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI;positive reward; viewing; passive,L,Amygdala,,,-27,-3,-27,3.58,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-b - Effects of valence of outcome - Imperative task - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI;positive reward; viewing; passive,R,Border of ventral amygdala,,,33,-6,-33,3.37,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,R,Ventral medial PFC,,,9,42,-12,3.54,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,R,Ventral medial PFC,,,9,66,6,3.46,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,R,Medial OFC,,,12,36,-18,3.11,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,R,Medial OFC,,,3,15,-12,3.22,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,L,Lateral OFC,,,-39,42,-15,3.9,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,L,Posterior cingulate cortex,,,-9,-33,45,3.97,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-1-a - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - reward > punishment,fMRI; reward value; outcome phase; monetary reward; MNI; positive reward,R,Posterior cingulate cortex,,,-9,-42,45,4.53,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-2-a - Effects of valence of outcome - Choice task - punishment > reward,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; negative reward,R,Anterior insular cortex,,,42,27,0,3.15,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-2-a - Effects of valence of outcome - Choice task - punishment > reward,fMRI; reward value; outcome phase; decision making; monetary reward; MNI; performance-dependent; negative reward,R,Lateral prefrontal cortex,,,51,24,0,4.19,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-2-b - Effects of valence of outcome - Imperative task - punishment > reward,fMRI; reward value; outcome phase; monetary reward; MNI; negative reward; viewing; passive,R,Lateral OFC,,,45,36,-9,3.21,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-2-b - Effects of valence of outcome - Imperative task - punishment > reward,fMRI; reward value; outcome phase; monetary reward; MNI; negative reward; viewing; passive,,Dorsal medial PFC,,,0,48,21,3.65,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 1-2-c - Effects of valence of outcome - Choice and Imperative task (decision making and passive) - punishment > reward ,fMRI; reward value; outcome phase; monetary reward; MNI; negative reward,R,Lateral PFC,,,51,21,-3,3.68,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-1 - Effects of response selection - response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,,Medial OFC,,,0,42,-18,3.37,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-1 - Effects of response selection - response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,L,Lateral OFC,,,-42,36,-18,3.53,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-1 - Effects of response selection - response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,L,Medial PFC,,,-3,54,-9,3.23,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-1 - Effects of response selection - response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,L,Posterior cingulate cortex,,,-3,-54,15,3.86,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-2 - Effects of response selection - response switching,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,R,Anterior insula-caudolateral OFC,,,36,27,-9,3.78,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-2 - Effects of response selection - response switching,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,L,Dorsal anterior cingulate cortex,,,-3,21,42,4.58,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-2 - Effects of response selection - response switching,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,R,Dorsal anterior cingulate cortex,,,3,33,36,4.71,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 2-2 - Effects of response selection - response switching,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,L,Para-cingulate cortex,,,-6,12,51,5.05,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-a - Comparison between choice and imperative tasks - Choice-imperative: effects of valence of outcome (reward>punishment),fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; positive reward;,R,Medial OFC,,,9,39,-18,3.56,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-a - Comparison between choice and imperative tasks - Choice-imperative: effects of valence of outcome (reward>punishment),fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; positive reward;,L,Lateral OFC,,,-42,42,-15,4.35,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-a - Comparison between choice and imperative tasks - Choice-imperative: effects of valence of outcome (reward>punishment),fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; positive reward;,R,Central OFC,,,18,39,-9,3.43,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-b - Comparison between choice and imperative tasks - Choice-imperative: effects of response maintenance,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response maintenance,R,Medial OFC,,,3,27,-12,3.27,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-b - Comparison between choice and imperative tasks - Choice-imperative: effects of response maintenance,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response maintenance,R,Central OFC,,,24,36,-6,4.26,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,L,Dorsal anterior cingulate cortex,,,-3,21,39,3.67,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,R,Dorsal anterior cingulate cortex,,,6,27,33,3.76,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,R,Dorsal anterior cingulate cortex,,,9,21,39,3.58,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,L,Caudate nucleus,,,-6,3,0,3.78,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,R,Caudate nucleus,,,21,0,18,3.67,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,R,Caudate nucleus,,,15,18,3,3.92,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-c - Comparison between choice and imperative tasks - Choice-imperative: effects of response switching,fMRI; reward value; outcome phase; decision making; performance-dependent; monetary reward; MNI; response switching,R,Putamen,,,21,0,-3,3.39,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-d - Comparison between choice and imperative tasks - Conjunction of choice and imperative tasks: response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,R,Caudate nucleus,,,33,3,6,4.73,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-d - Comparison between choice and imperative tasks - Conjunction of choice and imperative tasks: response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,,Posterior cingulate cortex,,,0,-15,48,5.21,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-d - Comparison between choice and imperative tasks - Conjunction of choice and imperative tasks: response maintenance,fMRI; reward value; outcome phase; monetary reward; MNI; response maintenance,L,Lateral OFC,,,-30,42,-9,3.28,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-e - Comparison between choice and imperative tasks - Conjunction of choice and imperative tasks: response switching,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,L,Anterior insula-caudolateral OFC,,,-33,21,-18,3.69,,,
+,John O Doherty,Dissociating Valence of Outcome from Behavioral Control in Human Orbital and Ventral Prefrontal Cortices,Table 3-1-e - Comparison between choice and imperative tasks - Conjunction of choice and imperative tasks: response switching,fMRI; reward value; outcome phase; monetary reward; MNI; response switching,R,Anterior insula-caudolateral OFC,,,39,24,-12,4.08,,,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive,L.,Insula,,,-38.384,1.545,-11.83,3.17,,0.005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive,L.,Amygdala/hippocampus,,,-22.222,-11.583,-18.549,4.14,,0.005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive,L.,Post-central gyrus,40,,-63.636,-24.506,16.12,4.8,,0.05,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive,L.,Cerebellum,,,-34.343,-35.933,-28.3,3.5,,0.005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive,L.,Fusiform gyrus,,,-44.444,-47.569,-21.82,3.26,,0.005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive,L.,Inferior occipital gyrus,18,,-26.263,-87.828,-21.763,3.78,,0.005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive,R.,Medial frontal gyrus,10,,4.04,56.013,-6.299,3.37,,0.005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive,R.,Amygdala,,,22.222,-4.272,-20.51,3.42,,0.005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive,R.,Transverse temporal gyrus,42,,61.616,-18.122,12.104,3.0,,0.005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive,R.,Superior temporal gyrus,21,,61.616,-49.938,8.248,4.02,,0.005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive,R.,Precuneus,7,,4.04,-54.367,36.311,2.83,,0.005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive,R.,Posterior cingulate,23,,2.02,-62.5,11.939,3.63,,0.005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; high calorie,L.,Superior frontal gyrus,8,,-24.242,40.154,45.651,5.61,,0.05,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; high calorie,L.,Amygdala,,,-20.202,0.001,-23.839,3.81,,0.0005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; high calorie,L.,Parahippocampal gyrus,,,-36.364,-2.161,-21.58,3.66,,0.0005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; high calorie,L.,Thalamus,,,-4.04,-12.407,0.434,5.45,,0.05,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; high calorie,L.,Middle temporal gyrus,21,,-63.636,-44.274,-2.558,3.58,,0.0005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; high calorie,L.,Middle temporal gyrus,,,-48.485,-78.46,21.98,3.85,,0.0005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; high calorie,M.,Corpus callosum,,,2.02,10.502,17.967,4.51,,0.05,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; high calorie,M.,Cerebellum,,,0.0,-77.685,-41.44,4.2,,0.0005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; high calorie,R.,Brainstem,,,8.081,-27.747,-50.474,4.53,,0.05,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; high calorie,R.,Cerebellum,,,40.404,-41.802,-35.791,4.06,,0.0005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 2 - Foci of maximally activated brain regions in response to high-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; high calorie,R.,Middle occipital gyrus,37,,51.515,-67.596,-12.25,4.33,,0.0005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; low calorie,L.,Superior temporal gyrus,21,,-61.616,-6.126,-1.546,3.89,,0.005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; low calorie,L.,Parahippocampal gyrus,28,,-22.222,-16.525,-23.602,3.63,,0.005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; low calorie,L.,Post-central gyrus,40,,-63.636,-25.639,18.237,3.22,,0.005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; low calorie,L.,Anterior cerebellum,,,-38.384,-40.052,-28.538,3.37,,0.005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; low calorie,L.,Lingual gyrus,,,-18.182,-73.876,-10.229,3.1,,0.005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; low calorie,M.,Orbitofrontal gyrus,11,,0.0,54.366,-15.93,3.07,,0.005,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 3 - Foci of maximally activated brain regions in response to low-calorie foods,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach(converted); passive; low calorie,R.,Transverse temporal gyrus,,,65.657,-9.782,10.367,3.34,,0.005,
+,Nieuwenhuis et al,Activity in human reward-sensitive brain areas is strongly context dependent,Table 1-1 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent and independent,fMRI; reward magnitude; reward value; outcome phase; decision making; monetary reward; high gain vs high loss; talairach(converted); gambling;positive reward,R,Putamen,,8.92,19.192,7.156,1.466,,,0.0005,1481
+,Nieuwenhuis et al,Activity in human reward-sensitive brain areas is strongly context dependent,Table 1-1 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent and independent,fMRI; reward magnitude; reward value; outcome phase; decision making; monetary reward; high gain vs high loss; talairach(converted); gambling;positive reward,L,Globus pallidus,,7.16,-14.141,1.339,-7.074,,,0.0005,443
+,Nieuwenhuis et al,Activity in human reward-sensitive brain areas is strongly context dependent,Table 1-2 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent,fMRI; reward magnitude; reward value; outcome phase; decision making; monetary reward; high gain vs high loss; talairach(converted); gambling; context-dependent reward;positive reward,L,Caudate nucleus,,5.97,-8.081,3.964,3.474,,,0.0005,150
+,Nieuwenhuis et al,Activity in human reward-sensitive brain areas is strongly context dependent,Table 1-2 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent,fMRI; reward magnitude; reward value; outcome phase; decision making; monetary reward; high gain vs high loss; talairach(converted); gambling; context-dependent reward;positive reward,L,Inferior parietal lobule,,6.68,-48.485,-55.86,46.027,,,0.0005,283
+,Nieuwenhuis et al,Activity in human reward-sensitive brain areas is strongly context dependent,Table 1-2 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent,fMRI; reward magnitude; reward value; outcome phase; decision making; monetary reward; high gain vs high loss; talairach(converted); gambling; context-dependent reward;positive reward,L,Posterior cingulate gyrus,,7.64,-2.02,-37.532,29.581,,,0.0005,290
+,Nieuwenhuis et al,Activity in human reward-sensitive brain areas is strongly context dependent,Table 1-2 -List of reward-sensitive brain areas revealed by contrasting the highest outcome and lowest outcome - Context dependent,fMRI; reward magnitude; reward value; outcome phase; decision making; monetary reward; high gain vs high loss; talairach(converted); gambling; context-dependent reward;positive reward,L,Posterior cingulate sulcus,,5.35,-1.01,-34.34,49.339,,,0.0005,63
