importance,author,title,table_name,keywords,Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S),z-score,NV,p value,cluster size,index_col,MNIX,MNIY,MNIZ,BA,TALX,TALY,TALZ,BA_name,BA_no
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S2 - Foci of regions modulated by the experienced reward in the parametric analysis,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task,Left,posterior middle temporal gyrus/angular gyrus/superior occipital gyrus,nan,,-30,-78,44,3.12,431.0,0.05,,617,-30,-78,44,Left-AngGyrus (39),-30,-74,41,Left-AngGyrus ,39.0
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S2 - Foci of regions modulated by the experienced reward in the parametric analysis,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task,Left,superior/middle frontal gyrus,nan,,-26,32,48,3.23,290.0,0.05,,618,-26,32,48,Left-FrontEyeFields (8),-25,33,44,Left-FrontEyeFields ,8.0
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S2 - Foci of regions modulated by the experienced reward in the parametric analysis,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task,Left,superior/middle frontal gyrus,nan,,-18,28,58,3.14,290.0,0.05,,619,-18,28,58,Left-PreMot+SuppMot (6),-17,31,52,Left-PreMot+SuppMot ,6.0
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S2 - Foci of regions modulated by the experienced reward in the parametric analysis,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task,Right,nucleus accumbens (nacc),nan,,8,18,-4,3.32,284.0,0.05,,620,8,18,-4,Right-Caudate,7,15,-1,Right-Caudate,
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S3 - Foci of activation for Risky minus Safe choices across both Gain and Loss domains,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; risk choice,,dorsal medial prefrontal cortex,nan,,6,40,38,3.59,511.0,0.05,,621,6,40,38,Right-dlPFC(dorsal) (9),5,40,34,Right-dlPFC(dorsal) ,9.0
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S3 - Foci of activation for Risky minus Safe choices across both Gain and Loss domains,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; risk choice,,dorsal medial prefrontal cortex,nan,,4,52,28,3.25,511.0,0.05,,622,4,52,28,Right-dlPFC(dorsal) (9),3,50,24,Right-dlPFC(dorsal) ,9.0
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S3 - Foci of activation for Risky minus Safe choices across both Gain and Loss domains,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; risk choice,,dorsal medial prefrontal cortex,nan,,6,50,48,3.23,511.0,0.05,,623,6,50,48,Outside defined BAs,5,51,43,Outside defined BAs,
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S3 - Foci of activation for Risky minus Safe choices across both Gain and Loss domains,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; risk choice,,thalamus,nan,,-4,-2,2,3.6,411.0,0.05,,624,-4,-2,2,Left-Thalamus,-4,-4,4,Left-Thalamus,
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S3 - Foci of activation for Risky minus Safe choices across both Gain and Loss domains,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; risk choice,,thalamus,nan,,2,-12,10,3.11,411.0,0.05,,625,2,-12,10,Right-Thalamus,2,-13,12,Right-Thalamus,
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S3 - Foci of activation for Risky minus Safe choices across both Gain and Loss domains,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; risk choice,,calcarine/left cerebellum,nan,,4,-90,-4,3.33,1036.0,0.05,,626,4,-90,-4,Right-PrimVisual (17),4,-87,0,Right-PrimVisual ,17.0
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S3 - Foci of activation for Risky minus Safe choices across both Gain and Loss domains,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; risk choice,,calcarine/left cerebellum,nan,,-10,-84,-38,3.31,1036.0,0.05,,627,-10,-84,-38,Outside defined BAs,-9,-83,-28,Outside defined BAs,
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S3 - Foci of activation for Risky minus Safe choices across both Gain and Loss domains,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; risk choice,,calcarine/left cerebellum,nan,,-22,-78,-20,3.21,1036.0,0.05,,628,-22,-78,-20,Outside defined BAs,-22,-77,-12,Outside defined BAs,
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S3 - Foci of activation for Risky minus Safe choices across both Gain and Loss domains,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; risk choice,Right,middle temporal gyrus,nan,,66,-32,-4,3.19,291.0,0.05,,629,66,-32,-4,Right-MedTempGyrus (21),62,-33,1,Right-MedTempGyrus ,21.0
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,,acc/vmpfc,nan,,-2,40,8,3.56,815.0,0.05,,630,-2,40,8,Left-VentAntCing (24),-2,36,7,Left-VentAntCing ,24.0
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,,acc/vmpfc,nan,,0,48,-14,3.46,815.0,0.05,,631,0,48,-14,Right-AntPFC (10),0,42,-15,Right-AntPFC ,10.0
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,,acc/vmpfc,nan,,0,58,-4,3.42,815.0,0.05,,632,0,58,-4,Right-AntPFC (10),0,52,-6,Right-AntPFC ,10.0
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,Left,lateral orbital frontal gyrus,nan,,-52,42,-4,3.74,793.0,0.05,,633,-52,42,-4,Left-ParsOrbitalis (47),-51,39,-1,Left-ParsOrbitalis ,47.0
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,Left,superior/middle frontal gyrus,nan,,-22,32,44,3.52,676.0,0.05,,634,-22,32,44,Left-FrontEyeFields (8),-21,33,40,Left-FrontEyeFields ,8.0
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,Left,superior/middle frontal gyrus,nan,,-16,54,34,3.13,676.0,0.05,,635,-16,54,34,Left-dlPFC(dorsal) (9),-16,53,30,Left-dlPFC(dorsal) ,9.0
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,Left,superior/middle frontal gyrus,nan,,-14,20,54,3.06,676.0,0.05,,636,-14,20,54,Left-PreMot+SuppMot (6),-13,23,49,Left-PreMot+SuppMot ,6.0
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,Left,nucleus accumbens (nacc),nan,,-20,12,-12,3.86,1040.0,0.05,,637,-20,12,-12,Left-Putamen,-20,8,-7,Left-Putamen,
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,Left,nucleus accumbens (nacc),nan,,-10,16,-6,3.75,1040.0,0.05,,638,-10,16,-6,Left-Caudate,-10,13,-2,Left-Caudate,
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,Right,nucleus accumbens (nacc),nan,,8,18,-4,3.6,575.0,0.05,,639,8,18,-4,Right-Caudate,7,15,-1,Right-Caudate,
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,Right,nucleus accumbens (nacc),nan,,20,12,-10,3.35,575.0,0.05,,640,20,12,-10,Right-Putamen,19,8,-5,Right-Putamen,
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,Left,angular gyrus/middle occipital gyrus/superior occipital gyrus,nan,,-44,-78,34,3.62,1259.0,0.05,,641,-44,-78,34,Left-AngGyrus (39),-44,-75,33,Left-AngGyrus ,39.0
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,Left,angular gyrus/middle occipital gyrus/superior occipital gyrus,nan,,-46,-66,24,3.41,1259.0,0.05,,642,-46,-66,24,Left-AngGyrus (39),-46,-64,25,Left-AngGyrus ,39.0
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,Left,angular gyrus/middle occipital gyrus/superior occipital gyrus,nan,,-18,-54,68,3.36,1259.0,0.05,,643,-18,-54,68,Left-VisMotor (7),-18,-50,61,Left-VisMotor ,7.0
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,Left,angular gyrus/middle occipital gyrus/superior occipital gyrus,nan,,-46,-56,58,3.31,1259.0,0.05,,644,-46,-56,58,Left-AngGyrus (39),-46,-52,53,Left-AngGyrus ,39.0
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,Right,angular gyrus /middle occipital gyrus,nan,,-76,32,44,4.4,764.0,0.05,,645,-76,32,44,Outside defined BAs,-75,32,39,Outside defined BAs,
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,Right,angular gyrus /middle occipital gyrus,nan,,32,-62,36,3.25,764.0,0.05,,646,32,-62,36,Right-AngGyrus (39),33,-59,34,Right-AngGyrus ,39.0
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,,posterior cingulate cortex,nan,,-6,-46,30,4.07,3527.0,0.05,,647,-6,-46,30,Left-VentPostCing (23),-5,-44,29,Left-VentPostCing ,23.0
+,Xue et al,Table S4 - Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Foci of activation for Win minus Loss domains across both Risky and Safe choices,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; positive reward,Right,precuneus,nan,,6,-46,68,3.46,378.0,0.05,,648,6,-46,68,Right-SensoryAssoc (5),6,-42,61,Right-SensoryAssoc ,5.0
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S6 - Foci of regions showing significant positive correlation between individual risk preference and activation in Win vs. Loss contrast,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; risk choice,,ventral mpfc,nan,,-14,50,-2,3.68,30.0,0.001,,649,-14,50,-2,Left-AntPFC (10),-14,45,-2,Left-AntPFC ,10.0
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S6 - Foci of regions showing significant positive correlation between individual risk preference and activation in Win vs. Loss contrast,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; risk choice,Left,angular gyrus,nan,,-46,-74,32,4.38,54.0,0.001,,650,-46,-74,32,Left-AngGyrus (39),-46,-71,31,Left-AngGyrus ,39.0
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S6 - Foci of regions showing significant positive correlation between individual risk preference and activation in Win vs. Loss contrast,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; risk choice,Left,angular gyrus,nan,,-40,-60,40,3.28,20.0,0.001,,651,-40,-60,40,Left-AngGyrus (39),-40,-57,38,Left-AngGyrus ,39.0
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S6 - Foci of regions showing significant positive correlation between individual risk preference and activation in Win vs. Loss contrast,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; risk choice,Left,middle temporal gyrus,nan,,-44,-66,18,4.09,40.0,0.001,,652,-44,-66,18,Left-AngGyrus (39),-44,-64,20,Left-AngGyrus ,39.0
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S6 - Foci of regions showing significant positive correlation between individual risk preference and activation in Win vs. Loss contrast,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; risk choice,Right,middle frontal gyrus,nan,,26,28,38,4.36,36.0,0.001,,653,26,28,38,Right-FrontEyeFields (8),26,29,36,Right-FrontEyeFields ,8.0
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S6 - Foci of regions showing significant positive correlation between individual risk preference and activation in Win vs. Loss contrast,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; risk choice,Left,inferior parietal lobule,nan,,-56,-54,46,4.39,28.0,0.001,,654,-56,-54,46,Outside defined BAs,-56,-51,43,Outside defined BAs,
+,Xue et al,Functional Dissociations of Risk and Reward Processing in the Medial Prefrontal Cortex,Table S6 - Foci of regions showing significant positive correlation between individual risk preference and activation in Win vs. Loss contrast,fMRI; outcome phase; decision making; monetary reward; MNI; gambling; cups task; risk choice,Left,inferior parietal lobule,nan,,-50,-54,56,3.74,20.0,0.001,,655,-50,-54,56,Outside defined BAs,-50,-50,52,Outside defined BAs,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain; no outcome,R.,ant. insula,13,,36,14,1,4.3,,,,39,38,17,-3,Right-Insula (13),36,14,1,Right-Insula ,13.0
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain; no outcome,R.,nacc,nan,,11,12,0,4.89,,,,40,12,15,-4,Right-Caudate,11,12,0,Right-Caudate,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain; no outcome,L.,nacc,nan,,-9,10,0,5.11,,,,41,-9,13,-4,Left-Caudate,-9,10,0,Left-Caudate,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain; no outcome,R.,caudate,nan,,10,9,4,5.76,,,,42,11,12,2,Right-Caudate,10,9,4,Right-Caudate,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain; no outcome,L.,caudate,nan,,-8,1,7,6.42,,,,43,-8,4,5,Outside defined BAs,-8,1,7,Outside defined BAs,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain; no outcome,,thalamus,nan,,-3,-13,13,4.86,,,,44,-4,-12,12,Left-Thalamus,-3,-13,13,Left-Thalamus,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain; no outcome,,mes. prefrontal ctx,32,,3,27,35,4.51,,,,45,3,26,38,Right-FrontEyeFields (8),3,27,35,Right-FrontEyeFields ,8.0
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain; no outcome,,sup. motor area,6,,0,-4,49,3.96,,,,46,-1,-7,54,Outside defined BAs,0,-4,49,Outside defined BAs,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain; no outcome,L.,motor ctx.,4,,-28,-55,42,4.94,,,,47,-28,-58,45,Left-VisMotor (7),-28,-55,42,Left-VisMotor ,7.0
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-1 - reward versus nonreward outcomes on MPFC - Anticipation: Potential gain vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential gain; no outcome,,cerebellar vermis,nan,,0,-70,-26,4.67,,,,48,-1,-70,-36,Outside defined BAs,0,-70,-26,Outside defined BAs,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential loss; no outcome,R.,ant. insula,13,,35,14,1,4.26,,,,49,37,17,-3,Right-Insula (13),35,14,1,Right-Insula ,13.0
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential loss; no outcome,R.,caudate,nan,,11,-3,14,4.62,,,,50,12,-2,13,Right-Caudate,11,-3,14,Right-Caudate,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential loss; no outcome,L.,caudate,nan,,-16,-3,8,4.16,,,,51,-17,-1,6,Outside defined BAs,-16,-3,8,Outside defined BAs,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential loss; no outcome,,thalamus,nan,,-8,-2,10,4.92,,,,52,-9,-1,8,Outside defined BAs,-8,-2,10,Outside defined BAs,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential loss; no outcome,,mes. prefrontal ctx,32,,4,32,38,4.33,,,,53,4,31,42,Right-FrontEyeFields (8),4,32,38,Right-FrontEyeFields ,8.0
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential loss; no outcome,L.,motor ctx.,4,,-34,-14,59,4.22,,,,54,-34,-18,65,Left-PreMot+SuppMot (6),-34,-14,59,Left-PreMot+SuppMot ,6.0
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-2 - reward versus nonreward outcomes on MPFC - Anticipation: Potential loss vs no outcome,fMRI; reward value; anticipation phase; monetary reward; MID; talairach; performance-dependent; potential loss; no outcome,,cerebellar vermis,nan,,0,-63,-19,5.24,,,,55,-1,-63,-28,Outside defined BAs,0,-63,-19,Outside defined BAs,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-3 - reward versus nonreward outcomes on MPFC - Outcome: Potential gain vs no outcome,fMRI; reward value; outcome phase; monetary reward; MID; talairach; performance-dependent; potential gain,,mes. prefrontal ctx,10/32,,1,53,-6,4.45,,,,56,2,59,-5,Outside defined BAs,1,53,-6,Outside defined BAs,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-3 - reward versus nonreward outcomes on MPFC - Outcome: Potential gain vs no outcome,fMRI; reward value; outcome phase; monetary reward; MID; talairach; performance-dependent; potential gain,,frontal pole,10/32,,2,65,7,4.33,,,,57,3,70,10,Outside defined BAs,2,65,7,Outside defined BAs,
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-3 - reward versus nonreward outcomes on MPFC - Outcome: Potential gain vs no outcome,fMRI; reward value; outcome phase; monetary reward; MID; talairach; performance-dependent; potential gain,,post. cingulate,26/30,,5,-51,22,4.03,,,,58,5,-53,21,Right-VentPostCing (23),5,-51,22,Right-VentPostCing ,23.0
++,Knutson et al,A region of mesial prefrontal cortex tracks monetarily rewarding outcomes - characterization with rapid event-related fMRI,Table 1-3 - reward versus nonreward outcomes on MPFC - Outcome: Potential gain vs no outcome,fMRI; reward value; outcome phase; monetary reward; MID; talairach; performance-dependent; potential gain,,parietal ctx,7,,4,-62,53,3.91,,,,59,4,-66,60,Right-VisMotor (7),4,-62,53,Right-VisMotor ,7.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 A - Post-Hoc Fixed Effects Analysis - Contrast - general effect of beauty - computed for all beautiful face conditions versus all average face conditions,fMRI; outcome phase; decision making; social reward; talairach; passive,,vt,nan,,-3,-8,-15,,,1.4e-05,,103,-3,-6,-22,Outside defined BAs,-3,-8,-15,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 A - Post-Hoc Fixed Effects Analysis - Contrast - general effect of beauty - computed for all beautiful face conditions versus all average face conditions,fMRI; outcome phase; decision making; social reward; talairach; passive,,vt,nan,,3,-18,-15,,,4.4e-05,,104,4,-17,-23,Outside defined BAs,3,-18,-15,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 A - Post-Hoc Fixed Effects Analysis - Contrast - general effect of beauty - computed for all beautiful face conditions versus all average face conditions,fMRI; outcome phase; decision making; social reward; talairach; passive,,slea,nan,,16,-9,-8,,,2.2e-05,,105,17,-7,-14,Outside defined BAs,16,-9,-8,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 A - Post-Hoc Fixed Effects Analysis - Contrast - general effect of beauty - computed for all beautiful face conditions versus all average face conditions,fMRI; outcome phase; decision making; social reward; talairach; passive,,slea,nan,,22,3,-15,,,-5.3e-06,,106,23,7,-22,Right-Amygdala,22,3,-15,Right-Amygdala,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 A - Post-Hoc Fixed Effects Analysis - Contrast - general effect of beauty - computed for all beautiful face conditions versus all average face conditions,fMRI; outcome phase; decision making; social reward; talairach; passive,,slea,nan,,-15,9,-11,,,-2.1e-07,,107,-15,13,-16,Left-OrbFrontal (11),-15,9,-11,Left-OrbFrontal ,11.0
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 A - Post-Hoc Fixed Effects Analysis - Contrast - general effect of beauty - computed for all beautiful face conditions versus all average face conditions,fMRI; outcome phase; decision making; social reward; talairach; passive,,gob,nan,,16,45,-11,,,0.0001,,108,17,50,-11,Outside defined BAs,16,45,-11,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,nac and other vs,nan,,16,18,-5,,,3.3e-06,,109,17,22,-9,Outside defined BAs,16,18,-5,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,nac and other vs,nan,,-6,15,-2,,,0.00059,,110,-6,18,-6,Outside defined BAs,-6,15,-2,Outside defined BAs,
+,Aharon et al,Beautiful Faces Have Variable Reward Value - fMRI and Behavioral Evidence,Table 2 B - Post-Hoc Fixed Effects Analysis - Contrast - Beautiful Female versus Beautiful Male,fMRI; outcome phase; decision making; social reward; talairach; passive,,vt,nan,,13,-15,-5,,,0.00024,,111,14,-14,-11,Outside defined BAs,13,-15,-5,Outside defined BAs,
